cluster_label,corridor
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> North Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,Pittsburgh -> South Florida
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> Dallas
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> North Florida
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> Phoenix Valley
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,San Antonio -> South Florida
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Atlanta
core-utilization,South Florida -> Boston
core-utilization,South Florida -> Boston
