corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
Houston -> Minneapolis,8.74,1.94,3.88,2.91,7.77,14.56,8.74,6.8,12.62,14.56,13.59,3.88,2,core-utilization,51.5
Minneapolis -> Houston,4.9,1.96,6.86,4.9,7.84,13.73,8.82,3.92,11.76,13.73,12.75,8.82,2,core-utilization,51.0
Bay Area -> Minneapolis,10.89,6.93,6.93,3.96,4.95,10.89,4.95,14.85,10.89,11.88,8.91,3.96,2,core-utilization,50.5
Minneapolis -> St. Louis,6.0,5.0,3.0,9.0,4.0,13.0,10.0,10.0,10.0,10.0,12.0,8.0,2,core-utilization,50.0
Philadelphia -> St. Louis,2.22,6.67,6.67,11.11,15.56,7.78,4.44,10.0,11.11,16.67,5.56,2.22,2,core-utilization,45.0
St. Louis -> Detroit,4.49,8.99,2.25,11.24,10.11,12.36,6.74,14.61,16.85,7.87,2.25,2.25,2,core-utilization,44.5
St. Louis -> Pittsburgh,3.41,5.68,6.82,4.55,10.23,12.5,9.09,4.55,15.91,14.77,10.23,2.27,2,core-utilization,44.0
Dallas -> Boston,5.81,2.33,8.14,4.65,8.14,16.28,11.63,12.79,9.3,10.47,6.98,3.49,2,core-utilization,43.0
Detroit -> Houston,5.81,5.81,5.81,10.47,10.47,8.14,10.47,5.81,10.47,16.28,6.98,3.49,2,core-utilization,43.0
New York City -> Houston,3.49,10.47,4.65,5.81,3.49,15.12,6.98,6.98,8.14,16.28,13.95,4.65,2,core-utilization,43.0
Bay Area -> St. Louis,6.02,1.2,7.23,9.64,9.64,9.64,8.43,10.84,13.25,13.25,7.23,3.61,2,core-utilization,41.5
