AircraftType,corridor,month,density_pct,cluster_label,slab,intensity
Light Jet,Houston -> Dallas,Oct,3.97,winter-spring-peak,< 4%,0
Light Jet,Houston -> Dallas,Nov,11.9,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Dallas,Dec,13.49,winter-spring-peak,12%-15%,4
Light Jet,Houston -> LA Basin,Jan,15.05,winter-spring-peak,> 15%,5
Light Jet,Houston -> LA Basin,Feb,9.14,winter-spring-peak,9%-12%,3
Light Jet,Houston -> LA Basin,Mar,8.6,winter-spring-peak,6%-9%,2
Light Jet,Houston -> LA Basin,Apr,10.75,winter-spring-peak,9%-12%,3
Light Jet,Houston -> LA Basin,May,9.68,winter-spring-peak,9%-12%,3
Light Jet,Houston -> LA Basin,Jun,4.3,winter-spring-peak,4%-6%,1
Light Jet,Houston -> LA Basin,Jul,2.69,winter-spring-peak,< 4%,0
Light Jet,Houston -> LA Basin,Aug,4.3,winter-spring-peak,4%-6%,1
Light Jet,Houston -> LA Basin,Sep,4.3,winter-spring-peak,4%-6%,1
Light Jet,Houston -> LA Basin,Oct,14.52,winter-spring-peak,12%-15%,4
Light Jet,Houston -> LA Basin,Nov,6.45,winter-spring-peak,6%-9%,2
Light Jet,Houston -> LA Basin,Dec,10.22,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Phoenix Valley,Jan,9.76,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Phoenix Valley,Feb,10.73,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Phoenix Valley,Mar,9.27,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Phoenix Valley,Apr,11.71,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Phoenix Valley,May,12.2,winter-spring-peak,12%-15%,4
Light Jet,Houston -> Phoenix Valley,Jun,5.85,winter-spring-peak,4%-6%,1
Light Jet,Houston -> Phoenix Valley,Jul,5.37,winter-spring-peak,4%-6%,1
Light Jet,Houston -> Phoenix Valley,Aug,5.85,winter-spring-peak,4%-6%,1
Light Jet,Houston -> Phoenix Valley,Sep,5.85,winter-spring-peak,4%-6%,1
Light Jet,Houston -> Phoenix Valley,Oct,6.34,winter-spring-peak,6%-9%,2
Light Jet,Houston -> Phoenix Valley,Nov,10.24,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Phoenix Valley,Dec,6.83,winter-spring-peak,6%-9%,2
Light Jet,Houston -> San Antonio,Jan,16.46,winter-spring-peak,> 15%,5
Light Jet,Houston -> San Antonio,Feb,10.13,winter-spring-peak,9%-12%,3
Light Jet,Houston -> San Antonio,Mar,11.39,winter-spring-peak,9%-12%,3
Light Jet,Houston -> San Antonio,Apr,8.86,winter-spring-peak,6%-9%,2
Light Jet,Houston -> San Antonio,May,13.92,winter-spring-peak,12%-15%,4
Light Jet,Houston -> San Antonio,Jun,2.53,winter-spring-peak,< 4%,0
Light Jet,Houston -> San Antonio,Jul,3.8,winter-spring-peak,< 4%,0
Light Jet,Houston -> San Antonio,Aug,2.53,winter-spring-peak,< 4%,0
Light Jet,Houston -> San Antonio,Sep,2.53,winter-spring-peak,< 4%,0
Light Jet,Houston -> San Antonio,Oct,6.33,winter-spring-peak,6%-9%,2
Light Jet,Houston -> San Antonio,Nov,12.66,winter-spring-peak,12%-15%,4
Light Jet,Houston -> San Antonio,Dec,8.86,winter-spring-peak,6%-9%,2
Light Jet,Houston -> South Florida,Jan,12.76,winter-spring-peak,12%-15%,4
